"","INSTNM","CITY","STABBR","ZIP","CONTROL","ADM_RATE","SAT_AVG","TUITIONFEE_IN","TUITIONFEE_OUT","UGDS","REGION","DEP_INC_PCT_H2","MD_INC_WDRAW_2YR_TRANS_YR4_RT","IND_COMP_4YR_TRANS_YR4_RT","SD_EARN_WNE_P10","FEMALE_WDRAW_4YR_TRANS_YR6_RT","LO_INC_COMP_2YR_TRANS_YR3_RT","NOLOAN_COMP_ORIG_YR4_RT","OPENADMP","PELL_COMP_4YR_TRANS_YR3_RT","DEATH_YR2_RT","NOLOAN_UNKN_ORIG_YR2_RT","NOT1STGEN_WDRAW_ORIG_YR6_RT","HI_INC_YR8_N","CUML_DEBT_P90","C100_L4"
"125","Arkansas College of Barbering and Hair Design","North Little Rock","AR","72114",3,"NULL","NULL","NULL","NULL","127",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.6818"
"126","Arthur's Beauty College Inc-Fort Smith","Fort Smith","AR","72901-3342",3,"NULL","NULL","NULL","NULL","41",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0435"
"127","University of Arkansas","Fayetteville","AR","72701",1,"0.6596","1239","9062","24308","22763",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"128","University of Arkansas at Pine Bluff","Pine Bluff","AR","71601",1,"0.4669","951","7408","13738","2510",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"129","Arkansas State University-Beebe","Beebe","AR","72012-1000",1,"NULL","NULL","3570","5730","2645",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2248"
"130","Arkansas State University-Main Campus","Jonesboro","AR","72401",1,"0.6602","1165","8478","14778","8856",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"131","Arkansas Tech University","Russellville","AR","72801-2222",1,"0.9475","NULL","7104","12528","8247",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"132","University of Arkansas at Monticello","Monticello","AR","71656",1,"NULL","NULL","7462","13312","2589",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"133","Arthur's Beauty College Inc-Jacksonville","Jacksonville","AR","72076",3,"NULL","NULL","NULL","NULL","59",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1489"
"134","Baptist Health College Little Rock","Little Rock","AR","72210-2827",2,"0.6875","1125","9867","9867","676",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.2963"
"135","Black River Technical College","Pocahontas","AR","72455",1,"NULL","NULL","3120","5448","1216",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1846"
"136","University of Central Arkansas","Conway","AR","72035-0001",1,"0.8995","1175","8524","15047","9034",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"137","Central Baptist College","Conway","AR","72034",2,"0.6755","1027","15750","15750","676",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"138","Cossatot Community College of the University of Arkansas","De Queen","AR","71832",1,"NULL","NULL","3210","4080","955",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2717"
"139","Crowley's Ridge College","Paragould","AR","72450",2,"NULL","NULL","12250","12250","192",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"140","Crowley's Ridge Technical Institute","Forrest City","AR","72335-0925",1,"NULL","NULL","1350","1350","164",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2951"
"141","East Arkansas Community College","Forrest City","AR","72335-2204",1,"NULL","NULL","2850","3660","565",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1535"
"142","Eastern College of Health Vocations-Little Rock","Little Rock","AR","72205",3,"NULL","NULL","NULL","NULL","115",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3386"
"143","Imagine-Paul Mitchell Partner School","North Little Rock","AR","72117",3,"NULL","NULL","NULL","NULL","385",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.125"
"144","National Park College","Hot Springs","AR","71913",1,"NULL","NULL","3450","4950","2140",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1374"
"145","University of Arkansas Community College-Batesville","Batesville","AR","72503-3350",1,"NULL","NULL","2466","4218","954",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4978"
"146","Harding University","Searcy","AR","72149-5615",2,"0.7212","1203","19385","19385","4147",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"147","Henderson State University","Arkadelphia","AR","71999-0001",1,"0.7968","1102","8530","10180","2829",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"148","Hendrix College","Conway","AR","72032-3080",2,"0.798","1295","44070","44070","1233",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"149","Hot Springs Beauty College","Hot Springs","AR","71901",3,"NULL","NULL","NULL","NULL","38",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1111"
"150","Jefferson Regional Medical Center School of Nursing","Pine Bluff","AR","71603",2,"NULL","NULL","NULL","NULL","65",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"151","John Brown University","Siloam Springs","AR","72761",2,"0.7579","1256","26144","26144","1606",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"152","Career Academy of Hair Design","Springdale","AR","72764-7128",3,"NULL","NULL","NULL","NULL","169",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4195"
"153","Academy of Salon and Spa","Fort Smith","AR","72901",3,"NULL","NULL","NULL","NULL","58",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"154","Arkansas State University Mid-South","West Memphis","AR","72301-3829",1,"NULL","NULL","2674","4114","873",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1405"
"155","Arkansas Northeastern College","Blytheville","AR","72316-1109",1,"NULL","NULL","2290","3970","1002",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1676"
"156","New Tyler Barber College Inc","North Little Rock","AR","72114-4973",3,"NULL","NULL","NULL","NULL","50",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.175"
"157","North Arkansas College","Harrison","AR","72601-5508",1,"NULL","NULL","2208","4560","1466",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2006"
"158","Northwest Technical Institute","Springdale","AR","72764",1,"NULL","NULL","2321","2321","175",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2143"
"159","Ouachita Baptist University","Arkadelphia","AR","71998-0001",2,"0.7094","1186","25870","25870","1513",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"160","College of the Ouachitas","Malvern","AR","72104-0816",1,"NULL","NULL","3680","6530","642",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1724"
"161","Ozarka College","Melbourne","AR","72556-0010",1,"NULL","NULL","2932","5284","852",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2381"
"162","University of the Ozarks","Clarksville","AR","72830",2,"0.8915","1047","23750","23750","745",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"163","University of Arkansas Community College-Morrilton","Morrilton","AR","72110",1,"0.7506","NULL","3092","4004","1796",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.19"
"164","Philander Smith College","Little Rock","AR","72202-3799",2,"NULL","NULL","12714","12714","887",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"165","Phillips Community College of the University of Arkansas","Helena","AR","72342-0785",1,"NULL","NULL","2810","4610","654",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2162"
"166","Southeast Arkansas College","Pine Bluff","AR","71603",1,"NULL","NULL","3460","6280","1087",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0415"
"167","Professional Cosmetology Education Center","El Dorado","AR","71730-4009",3,"NULL","NULL","NULL","NULL","28",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.8462"
"168","University of Arkansas-Pulaski Technical College","North Little Rock","AR","72118-3347",1,"NULL","NULL","5170","6340","5184",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0803"
"169","University of Arkansas Community College-Hope","Hope","AR","71801",1,"NULL","NULL","2740","5260","1492",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.2063"
"170","University of Arkansas Community College Rich Mountain","Mena","AR","71953",1,"NULL","NULL","2688","5640","481",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.175"
"171","Paul Mitchell the School-Arkansas","Fayetteville","AR","72703",3,"NULL","NULL","NULL","NULL","106",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1818"
"172","Searcy Beauty College","Searcy","AR","72143",3,"NULL","NULL","NULL","NULL","67",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.125"
"173","Shorter College","N Little Rock","AR","72114",2,"NULL","NULL","4904","4904","521",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0833"
"174","Williams Baptist University","Walnut Ridge","AR","72476",2,"0.6241","1030","17320","17320","452",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"175","South Arkansas Community College","El Dorado","AR","71731-7010",1,"NULL","NULL","2628","4764","1100",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0647"
"176","Southern Arkansas University Main Campus","Magnolia","AR","71753",1,"0.6945","1102","8346","12156","3153",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"177","Southern Arkansas University Tech","Camden","AR","71701-1906",1,"NULL","NULL","4810","6250","667",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4091"
"178","Velvatex College of Beauty Culture","Little Rock","AR","72202-5452",3,"NULL","NULL","NULL","NULL","14",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4286"
"179","University of Arkansas-Fort Smith","Fort Smith","AR","72913-3649",1,"NULL","NULL","5577","12650","5455",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"180","Academy of Art University","San Francisco","CA","94105",3,"NULL","NULL","21252","21252","7520",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"181","Academy of Chinese Culture and Health Sciences","Oakland","CA","94612",2,"NULL","NULL","NULL","NULL","NULL",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"182","The Academy of Radio and TV Broadcasting","Huntington Beach","CA","92647",3,"NULL","NULL","NULL","NULL","14",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.7667"
"183","Avalon School of Cosmetology-Alameda","Alameda","CA","94501",3,"NULL","NULL","NULL","NULL","125",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4923"
"184","College of Alameda","Alameda","CA","94501",1,"NULL","NULL","1230","7110","4458",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1268"
"185","Allan Hancock College","Santa Maria","CA","93454-6399",1,"NULL","NULL","1352","6784","9282",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1168"
"186","American Academy of Dramatic Arts-Los Angeles","Los Angeles","CA","90028",2,"0.7859","NULL","34170","34170","280",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","0.6918"
"187","American Baptist Seminary of the West","Berkeley","CA","94704-3029",2,"NULL","NULL","NULL","NULL","NULL",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"188","American Film Institute Conservatory","Los Angeles","CA","90027-1625",2,"NULL","NULL","NULL","NULL","NULL",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"189","American Beauty College","West Covina","CA","91790",3,"NULL","NULL","NULL","NULL","118",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.75"
"190","American Career College-Los Angeles","Los Angeles","CA","90004",3,"NULL","NULL","NULL","NULL","1237",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.3422"
"191","American Conservatory Theater","San Francisco","CA","94108-5834",2,"NULL","NULL","28705","28705","1",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"192","American River College","Sacramento","CA","95841-4286",1,"NULL","NULL","1104","8208","29082",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1026"
"193","Antelope Valley College","Lancaster","CA","93536-5426",1,"NULL","NULL","1124","6500","11868",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"194","Art Center College of Design","Pasadena","CA","91103",2,"0.7036","NULL","42008","42008","1974",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"195","Associated Technical College-Los Angeles","Los Angeles","CA","90017-1604",3,"NULL","NULL","NULL","NULL","387",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.564"
"196","Associated Technical College-San Diego","San Diego","CA","92101",3,"NULL","NULL","NULL","NULL","80",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.4958"
"197","Azusa Pacific University","Azusa","CA","91702-7000",2,"0.6012","1131","37506","37506","5560",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"198","Bakersfield College","Bakersfield","CA","93305-1299",1,"NULL","NULL","1325","7261","18695",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"199","Barstow Community College","Barstow","CA","92311",1,"NULL","NULL","1104","6720","2762",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0653"
"200","Bellus Academy-Chula Vista","Chula Vista","CA","91911",3,"NULL","NULL","NULL","NULL","200",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0"
"201","Bethesda University","Anaheim","CA","92801",2,"NULL","NULL","7898","7898","257",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"202","Biola University","La Mirada","CA","90639-0001",2,"0.7198","1186","38448","38448","4039",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"203","Brownson Technical School","Anaheim","CA","92805",3,"NULL","NULL","NULL","NULL","51",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.7226"
"204","Bryan University","Tempe","AZ","85281",3,"NULL","NULL","13975","13975","1242",6,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"205","Butte College","Oroville","CA","95965-8399",1,"NULL","NULL","1368","6984","10188",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1185"
"206","Phillips Graduate University","Chatsworth","CA","91311",2,"NULL","NULL","NULL","NULL","NULL",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"207","California Institute of Integral Studies","San Francisco","CA","94103",2,"NULL","NULL","NULL","NULL","50",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"208","Cabrillo College","Aptos","CA","95003",1,"NULL","NULL","1268","7028","10556",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.0904"
"209","California Baptist University","Riverside","CA","92504-3297",2,"0.7708","1092","32256","32256","7397",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"210","California College of the Arts","San Francisco","CA","94107-2247",2,"0.6369","NULL","47266","47266","1475",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"211","University of California-Hastings College of Law","San Francisco","CA","94102-4978",1,"NULL","NULL","NULL","NULL","NULL",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"212","California Institute of Technology","Pasadena","CA","91125",2,"0.0774","1558","49908","49908","961",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"213","California Lutheran University","Thousand Oaks","CA","91360-2787",2,"0.7275","1158","41363","41363","2959",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"214","California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA","93407",1,"0.3461","1317","9432","21312","21303",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"215","Alliant International University-San Diego","San Diego","CA","92131",3,"0.8","NULL","14310","14310","391",8,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
